PARTICULARS (Million Frw),Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23
Total Expenses,"  (9,077)","  (19,651)","  (30,724)","  (44,950)","  (11,863)","  (26,406)","  (36,443)","  (48,988)","  (11,980)","  (24,717)","  (35,892)","  (48,900)","  (12,428)","  (24,366)","  (37,893)","  (50,615)","  (12,862)","  (26,059)","  (38,822)","  (52,788)","  (13,801)","  (25,347)","  (39,682)","  (55,798)","  (14,810)","  (30,067)","  (48,733)","  (63,827)","  (17,319)","  (33,583)","  (51,614)","  (72,431)","  (19,138)"
Net underwriting profit (loss),  4 ,"  (2,694)","  (3,804)","  (9,849)","  (2,956)","  (7,281)","  (8,161)","  (10,588)","  (1,158)","  (3,441)","  (3,652)","  (6,056)","  (1,163)","  (1,415)","  (2,798)","  (2,374)",  (255),  700 ,  (221),  (464),  488 ,  511 ,  462 ,"  (1,149)",  33 ,  (601),"  (2,393)","  (1,407)",  (162),"  1,676 ","  1,800 ",  (67),"  2,037 "
Add: Other revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment income,  679 ,"  1,457 ","  2,087 ","  2,723 ",  988 ,"  1,753 ","  2,906 ","  4,249 ","  1,256 ","  2,415 ","  3,788 ","  5,281 ","  1,421 ","  2,887 ","  4,281 ","  5,984 ","  1,464 ","  2,856 ","  5,054 ","  6,573 ","  1,801 ","  3,783 ","  5,706 ","  7,929 ","  2,066 ","  4,813 ","  7,248 ","  10,613 ","  3,282 ","  6,114 ","  7,978 ","  12,307 ","  2,537 "
Other income,  622 ,"  1,215 ","  1,656 ","  3,860 ",  604 ,"  1,090 ","  2,092 ","  2,977 ",  656 ,"  1,573 ","  2,161 ","  3,944 ",  980 ,"  1,431 ","  2,726 ","  3,479 ","  1,268 ","  1,809 ","  2,085 ","  2,687 ",  882 ,"  1,915 ","  2,971 ","  3,852 ",  700 ,"  1,831 ","  2,953 ","  3,893 ",  783 ,  949 ,"  2,687 ","  2,298 ","  1,092 "
Finance costs ,  -   ,  -   ,  -   ,  (24),  -   ,  (0),  (0),  (0),  (0),  (0),  (0),  -   ,  -   ,  -   ,  -   ,  (12),  -   ,  (63),  -   ,  -   ,  (1),  -   ,  107 ,  (11),  (1),  -   ,  -   ,  -   ,  -   ,  -   ,  (25),  (33),  -   
Extraordinary charges/income,  (4),  (50),  (156),  (313),  -   ,  (29),  169 ,  71 ,  18 ,  53 ,  0 ,  93 ,  (4),  (9),  (7),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Net income from operations,"  1,301 ",  (72),  (217),"  (3,604)","  (1,364)","  (4,467)","  (2,995)","  (3,292)",  772 ,  599 ,"  2,297 ","  3,261 ","  1,234 ","  2,895 ","  4,201 ","  7,076 ","  2,477 ","  5,302 ","  6,918 ","  8,796 ","  3,169 ","  6,208 ","  9,246 ","  10,622 ","  2,799 ","  6,044 ","  7,836 ","  13,099 ","  3,904 ","  8,740 ","  12,441 ","  14,504 ","  5,665 "
Less: Provision for tax (income tax expenses),  (411),  (410),  (206),  (234),  (100),  (69),  (424),  (841),  (224),  (338),  (929),"  (1,595)",  (72),  (227),  (821),"  (1,113)",  (291),  (907),"  (1,036)","  (1,930)",  (478),"  (1,162)","  (1,934)","  (2,209)",  (437),"  (1,191)","  (1,869)","  (3,576)",  (689),"  (2,310)","  (3,469)","  (5,166)","  (1,209)"
Net Income After Tax,  890 ,  (482),  (423),"  (3,839)","  (1,464)","  (4,536)","  (3,419)","  (4,132)",  548 ,  261 ,"  1,368 ","  1,667 ","  1,163 ","  2,667 ","  3,380 ","  5,963 ","  2,186 ","  4,395 ","  5,882 ","  6,865 ","  2,691 ","  5,046 ","  7,313 ","  8,412 ","  2,362 ","  4,853 ","  5,967 ","  9,523 ","  3,215 ","  6,430 ","  8,972 ","  9,339 ","  4,456 "
